D0:4D:C6:02:E5:C0,D0:4D:C6:02:95:61,D0:4D:C6:02:95:70,D0:D3:E0:B1:87:00,D0:4D:C6:02:47:F0,D0:4D:C6:02:47:E0,D0:4D:C6:02:C2:81,D0:4D:C6:01:E6:20,D0:4D:C6:02:C2:80,D0:4D:C6:01:E6:21,D0:4D:C6:02:D3:A0,D0:4D:C6:02:7E:50,00:4E:35:CF:97:B0,D0:D3:E0:B1:3A:71,D0:D3:E0:B1:3A:60,D0:4D:C6:02:C2:91,D0:4D:C6:02:7E:51,D0:4D:C6:02:C2:90,D0:4D:C6:01:E6:30,D0:4D:C6:02:7E:41,00:4E:35:CF:97:A1,D0:4D:C6:03:4D:51,D0:4D:C6:01:E6:31,00:4E:35:CF:97:B1,D0:4D:C6:02:7E:40,D0:4D:C6:02:47:E1,D0:D3:E0:B1:A0:00,D0:4D:C6:03:4D:41,D0:4D:C6:02:E5:C1,00:4E:35:CF:97:A0,00:4E:35:CF:2E:50,00:4E:35:CF:CE:20,D0:D3:E0:B1:3A:61,00:4E:35:CF:2E:51,D0:4D:C6:02:47:F1,00:4E:35:CF:2E:41,D0:4D:C6:02:95:60,40:E3:D6:24:25:32,D0:4D:C6:03:4D:40,40:E3:D6:24:25:33,D0:4D:C6:03:4D:50,D0:4D:C6:02:E5:D1,D0:D3:E0:B1:3A:70,D0:4D:C6:02:95:71,40:E3:D6:24:25:23,00:4E:35:CF:2E:40,D0:D3:E0:B1:87:01,D0:4D:C6:02:E5:D0,40:E3:D6:24:25:22,x,y
42,66,60,0,38,42,31,0,31,0,0,0,0,0,31,0,0,31,0,0,31,39,0,0,0,43,0,44,41,31,0,0,31,0,0,41,65,0,45,0,39,31,0,61,36,41,0,31,34,3,8
42,55,48,0,0,39,39,35,0,35,0,34,31,0,0,0,34,31,31,44,31,43,0,31,44,39,0,49,0,31,0,0,0,0,0,39,55,0,48,0,43,0,0,48,32,39,0,0,31,9,5
44,61,52,0,31,0,38,34,38,34,0,38,31,0,31,33,37,33,31,45,31,39,31,31,0,0,0,48,0,31,0,0,31,0,32,36,61,0,48,0,39,0,0,52,35,36,0,0,34,9,4
46,64,60,0,35,43,31,33,31,31,0,31,0,0,31,0,31,0,31,39,31,41,0,0,39,40,0,46,47,31,31,0,31,31,33,39,64,31,46,0,40,0,0,60,34,39,0,0,36,3,5
0,65,62,0,41,0,33,0,33,0,0,31,0,0,0,0,31,31,0,36,0,38,0,0,36,0,0,43,0,0,0,0,0,0,41,39,65,0,43,0,38,0,0,62,0,0,0,31,0,3,9
42,56,56,0,31,40,36,31,36,31,0,31,0,0,31,31,31,0,0,40,31,41,31,0,40,40,0,47,42,31,31,0,31,31,31,39,56,0,47,0,41,33,0,56,31,39,0,0,31,6,5
0,54,62,0,31,36,37,31,37,31,0,34,0,0,32,0,33,0,31,0,31,42,31,31,43,0,0,50,45,31,0,0,32,0,31,39,54,0,50,0,42,34,0,62,33,0,0,34,32,7,1
0,52,49,0,32,0,38,32,38,33,0,0,31,31,31,31,0,0,31,0,0,0,31,0,0,0,0,49,0,0,31,0,31,31,32,41,0,0,49,0,43,0,31,49,31,41,0,0,31,12,3
42,56,50,0,31,38,37,31,37,31,0,31,0,0,0,0,31,31,0,43,31,43,31,0,42,38,0,45,42,31,32,0,0,31,31,38,56,0,44,0,40,0,0,51,31,39,0,0,31,8,5
0,65,56,0,0,0,31,31,31,0,0,31,0,0,0,31,31,0,0,0,0,37,0,0,0,0,0,0,0,31,31,0,31,31,0,37,65,0,42,0,0,0,0,56,40,37,0,0,0,1,8
46,55,51,0,34,38,35,35,35,36,0,31,31,0,0,0,31,0,31,0,31,42,31,31,42,38,0,47,46,31,0,0,0,0,34,36,55,0,47,0,42,0,0,51,35,36,0,0,34,9,3
43,62,62,0,34,0,37,31,37,31,0,33,31,0,31,0,33,0,0,42,31,42,0,0,42,0,0,48,44,31,0,0,31,0,34,40,63,0,48,0,42,0,0,62,37,40,0,0,37,1,3
42,53,53,0,31,39,41,34,41,34,0,35,31,0,31,33,35,0,31,42,31,42,31,31,42,39,0,49,42,0,0,0,31,0,31,37,53,0,49,0,42,39,0,53,31,37,0,39,31,7,3
44,53,58,0,0,38,41,0,41,36,0,0,0,0,32,0,35,0,0,43,32,39,0,0,43,38,0,51,0,32,0,0,0,0,34,39,53,0,51,0,0,41,0,0,0,39,0,41,0,5,1
0,66,61,0,32,45,31,0,31,0,0,31,0,0,31,0,31,31,0,0,31,37,0,0,0,46,0,42,0,31,0,0,31,31,32,42,66,0,42,0,37,31,0,61,33,42,0,0,0,4,10
0,68,62,0,0,47,31,31,31,31,0,31,0,0,31,31,31,31,0,36,31,0,0,0,36,47,0,43,0,31,0,0,31,0,0,42,68,31,43,31,0,0,0,62,0,42,0,0,40,1,12
47,61,59,0,31,0,41,36,41,36,0,36,31,0,0,31,36,31,31,42,33,40,0,31,42,0,0,50,48,33,0,0,0,0,32,0,61,0,51,0,45,37,0,59,33,42,0,37,33,8,2
37,63,60,0,0,0,0,31,0,31,0,0,0,0,0,0,0,0,0,0,31,34,0,0,0,0,0,40,0,31,31,0,0,31,39,41,67,0,41,0,33,31,0,60,0,42,0,31,0,1,10
35,65,60,0,33,0,33,0,34,0,0,31,0,0,31,0,31,31,0,0,31,35,0,0,0,0,0,41,35,31,31,0,31,31,33,42,64,0,41,0,34,31,0,60,34,42,0,31,36,4,10
44,53,51,0,0,38,0,0,0,0,0,0,31,0,0,31,0,0,31,46,31,42,31,31,46,36,0,46,44,0,0,0,0,0,0,37,53,0,46,0,42,32,0,51,33,37,0,33,33,7,3
0,0,0,0,31,41,35,34,35,34,0,37,0,0,0,31,36,31,0,40,31,37,31,31,40,41,0,43,0,31,0,0,31,0,31,40,0,0,43,0,37,34,0,49,31,40,0,0,31,9,5
